link,date,time,final percent,final stacks,barrier applications,total barrier,downstates
https://dps.report/s94d-20240305-201558_cerus,2024.03.05,20:15:58,84.52,11,7,803449,1
https://dps.report/XuMe-20240305-201815_cerus,2024.03.05,20:18:15,88.13,10,3,1102840,2
https://dps.report/hen0-20240305-202217_cerus,2024.03.05,20:22:17,69.28,32,17,2452785,7
https://dps.report/M2Y4-20240305-202856_cerus,2024.03.05,20:28:56,63.55,16,14,1760233,6
https://dps.report/zBeO-20240305-203428_cerus,2024.03.05,20:34:28,56.99,25,9,3019016,8
https://dps.report/gvrT-20240305-204203_cerus,2024.03.05,20:42:03,64.84,20,6,1695053,3
https://dps.report/dWrF-20240305-204320_cerus,2024.03.05,20:43:20,93.72,0,0,0,0
https://dps.report/iWXF-20240305-204723_cerus,2024.03.05,20:47:23,65.49,28,8,1286748,2
https://dps.report/WkEs-20240305-204956_cerus,2024.03.05,20:49:56,87.68,23,10,1357207,10
https://dps.report/Nq7I-20240305-205510_cerus,2024.03.05,20:55:10,58.92,31,5,782923,6
https://dps.report/C9dg-20240305-205930_cerus,2024.03.05,20:59:30,65.87,18,9,1887881,2
https://dps.report/Amup-20240305-210809_cerus,2024.03.05,21:08:09,59.0,7,9,686242,0
https://dps.report/yYMS-20240305-211502_cerus,2024.03.05,21:15:02,49.48,18,14,859769,3
https://dps.report/AmmK-20240305-211910_cerus,2024.03.05,21:19:10,78.51,11,3,9755,0
https://dps.report/5yPE-20240305-212849_cerus,2024.03.05,21:28:49,54.65,9,4,967586,0
https://dps.report/HQgu-20240305-213528_cerus,2024.03.05,21:35:28,48.76,22,12,2031503,2
https://dps.report/QJyY-20240305-214219_cerus,2024.03.05,21:42:19,60.72,15,5,1831907,4
https://dps.report/Cnqt-20240305-214458_cerus,2024.03.05,21:44:58,78.71,10,0,0,0
https://dps.report/AEDH-20240305-215035_cerus,2024.03.05,21:50:35,59.43,18,22,1322774,0
https://dps.report/2XvF-20240305-215501_cerus,2024.03.05,21:55:01,78.71,20,3,1109975,1
https://dps.report/TDHs-20240305-220538_cerus,2024.03.05,22:05:38,98.44,0,0,0,0
https://dps.report/Hva9-20240305-221015_cerus,2024.03.05,22:10:15,66.72,16,0,9755,1
https://dps.report/4gqQ-20240305-221426_cerus,2024.03.05,22:14:26,66.37,9,3,1501342,1
https://dps.report/zX00-20240305-221443_cerus,2024.03.05,22:14:43,99.99,0,0,0,0
https://dps.report/EGMZ-20240305-221944_cerus,2024.03.05,22:19:44,62.17,1,0,0,2
https://dps.report/Tk1E-20240305-222345_cerus,2024.03.05,22:23:45,78.52,7,1,579387,1
https://dps.report/QxHU-20240305-222657_cerus,2024.03.05,22:26:57,76.27,4,3,919593,2
https://dps.report/UPLi-20240305-223201_cerus,2024.03.05,22:32:01,58.89,11,5,876211,0
https://dps.report/m6Bv-20240305-223730_cerus,2024.03.05,22:37:30,56.12,38,4,1398767,10
https://dps.report/iHGx-20240305-223817_cerus,2024.03.05,22:38:17,97.8,0,0,0,0
https://dps.report/yxIO-20240305-224519_cerus,2024.03.05,22:45:19,56.67,22,4,1622710,0
https://dps.report/srEF-20240305-225043_cerus,2024.03.05,22:50:43,58.21,26,4,827852,1
https://dps.report/CcZN-20240305-225513_cerus,2024.03.05,22:55:13,66.95,13,2,798934,1
https://dps.report/lxM8-20240306-201238_cerus,2024.03.06,20:12:38,98.08,5,0,0,0
https://dps.report/P7ND-20240306-201716_cerus,2024.03.06,20:17:16,58.6,33,15,1846705,1
https://dps.report/SFAB-20240306-202245_cerus,2024.03.06,20:22:45,75.09,6,0,44239,4
https://dps.report/Xf9G-20240306-202623_cerus,2024.03.06,20:26:23,75.78,10,4,358151,4
https://dps.report/He5k-20240306-203228_cerus,2024.03.06,20:32:28,66.13,18,7,857977,2
https://dps.report/CwbA-20240306-203729_cerus,2024.03.06,20:37:29,63.9,32,11,2298341,1
https://dps.report/y9qT-20240306-204110_cerus,2024.03.06,20:41:10,89.73,0,4,68126,0
https://dps.report/WuDA-20240306-204245_cerus,2024.03.06,20:42:45,89.52,5,3,87357,0
https://dps.report/P835-20240306-204533_cerus,2024.03.06,20:45:33,78.46,12,1,510389,1
https://dps.report/8qyl-20240306-204927_cerus,2024.03.06,20:49:27,66.07,20,6,549686,2
https://dps.report/sKy7-20240306-205333_cerus,2024.03.06,20:53:33,66.74,17,12,919382,1
https://dps.report/1j5Q-20240306-205832_cerus,2024.03.06,20:58:32,59.8,20,3,1247480,1
https://dps.report/Xhu5-20240306-210325_cerus,2024.03.06,21:03:25,61.09,13,12,1264196,2
https://dps.report/pYhb-20240306-211130_cerus,2024.03.06,21:11:30,57.33,36,13,2787642,4
https://dps.report/nApY-20240306-211302_cerus,2024.03.06,21:13:02,88.6,7,9,422951,5
https://dps.report/ATga-20240306-212026_cerus,2024.03.06,21:20:26,39.54,24,24,3666502,10
https://dps.report/8N4B-20240306-212943_cerus,2024.03.06,21:29:43,66.52,15,1,398672,3
https://dps.report/r1z6-20240306-213544_cerus,2024.03.06,21:35:44,49.72,20,11,2122656,0
https://dps.report/AOho-20240306-214319_cerus,2024.03.06,21:43:19,65.43,12,8,1216192,0
https://dps.report/AuXI-20240306-215715_cerus,2024.03.06,21:57:15,53.09,24,5,1398408,0
https://dps.report/Te6T-20240306-215932_cerus,2024.03.06,21:59:32,81.17,1,2,510127,1
https://dps.report/5DTG-20240306-220345_cerus,2024.03.06,22:03:45,63.38,1,3,511407,3
https://dps.report/JEGC-20240306-220855_cerus,2024.03.06,22:08:55,68.14,11,6,1535288,6
https://dps.report/SwKt-20240306-221105_cerus,2024.03.06,22:11:05,81.21,2,3,652467,3
https://dps.report/6Vxk-20240306-221221_cerus,2024.03.06,22:12:21,88.81,0,4,136094,0
https://dps.report/Qm5f-20240306-221423_cerus,2024.03.06,22:14:23,81.31,1,3,592981,2
https://dps.report/sDO3-20240306-221909_cerus,2024.03.06,22:19:09,58.26,6,10,909845,2
https://dps.report/GqEd-20240306-222345_cerus,2024.03.06,22:23:45,57.1,0,0,30240,1
https://dps.report/ueXh-20240306-223117_cerus,2024.03.06,22:31:17,39.28,15,27,3292065,7
https://dps.report/YKnA-20240306-223424_cerus,2024.03.06,22:34:24,80.46,1,2,351392,1
https://dps.report/8OtP-20240306-223534_cerus,2024.03.06,22:35:34,94.13,0,0,0,1
https://dps.report/Roem-20240306-223652_cerus,2024.03.06,22:36:52,89.56,5,4,270576,0
https://dps.report/eif1-20240306-224027_cerus,2024.03.06,22:40:27,65.49,5,2,9755,0
https://dps.report/QIY2-20240306-224200_cerus,2024.03.06,22:42:00,88.35,6,3,623036,1
https://dps.report/Bcsu-20240306-224707_cerus,2024.03.06,22:47:07,56.37,26,7,437191,1
https://dps.report/JpkU-20240306-225226_cerus,2024.03.06,22:52:26,54.5,16,5,1650901,3
